"Demographics","Subgroup","Total Cases","Year","Own-party feeling","Rival-party feeling"
"All","All","1744","1978","71.1","48"
"All","All","1322","1980","72.5","46.6"
"All","All","1190","1982","74.3","44.3"
"All","All","1902","1984","74.9","45.9"
"All","All","1825","1986","74.5","46.2"
"All","All","1731","1988","76.3","45.6"
"All","All","1674","1990","71.3","46.7"
"All","All","2108","1992","70","41.8"
"All","All","1575","1994","70.2","42.5"
"All","All","1538","1996","71.7","41.2"
"All","All","1113","1998","70.5","41.2"
"All","All","1547","2000","72.6","41.6"
"All","All","1063","2004","73.6","39.6"
"All","All","1995","2008","70.7","34.7"
"All","All","1805","2012","69.9","32.8"
"All","All","3640","2016","67.1","26.1"
"All","All","7226","2020","71.5","19.3"
"All","All","5089","2024","70.5","20.6"
"pid","Democrats (incl. leaners)","1102","1978","73","48.3"
"pid","Democrats (incl. leaners)","804","1980","73.5","48"
"pid","Democrats (incl. leaners)","758","1982","75.9","43.6"
"pid","Democrats (incl. leaners)","1038","1984","75.6","44.7"
"pid","Democrats (incl. leaners)","1063","1986","75.9","45.7"
"pid","Democrats (incl. leaners)","927","1988","77","45.7"
"pid","Democrats (incl. leaners)","985","1990","72.7","45.5"
"pid","Democrats (incl. leaners)","1200","1992","72.3","40.8"
"pid","Democrats (incl. leaners)","829","1994","70.1","46.5"
"pid","Democrats (incl. leaners)","885","1996","73.6","41.8"
"pid","Democrats (incl. leaners)","648","1998","73.1","38.9"
"pid","Democrats (incl. leaners)","877","2000","74.4","42.4"
"pid","Democrats (incl. leaners)","585","2004","73.7","38.4"
"pid","Democrats (incl. leaners)","1349","2008","73.1","33"
"pid","Democrats (incl. leaners)","1244","2012","73.7","31.5"
"pid","Democrats (incl. leaners)","1922","2016","71.2","26.9"
"pid","Democrats (incl. leaners)","3811","2020","70.6","20.6"
"pid","Democrats (incl. leaners)","2635","2024","70.3","21.1"
"pid","Republicans (incl. leaners)","642","1978","67.8","47.4"
"pid","Republicans (incl. leaners)","518","1980","71","44.5"
"pid","Republicans (incl. leaners)","432","1982","71.6","45.5"
"pid","Republicans (incl. leaners)","864","1984","74","47.4"
"pid","Republicans (incl. leaners)","762","1986","72.6","46.9"
"pid","Republicans (incl. leaners)","804","1988","75.5","45.4"
"pid","Republicans (incl. leaners)","689","1990","69.3","48.6"
"pid","Republicans (incl. leaners)","908","1992","66.9","43.2"
"pid","Republicans (incl. leaners)","746","1994","70.3","38.1"
"pid","Republicans (incl. leaners)","653","1996","69.3","40.4"
"pid","Republicans (incl. leaners)","465","1998","66.8","44.3"
"pid","Republicans (incl. leaners)","670","2000","70.1","40.5"
"pid","Republicans (incl. leaners)","478","2004","73.5","41"
"pid","Republicans (incl. leaners)","646","2008","67.5","37"
"pid","Republicans (incl. leaners)","561","2012","65.4","34.4"
"pid","Republicans (incl. leaners)","1718","2016","62.4","25.1"
"pid","Republicans (incl. leaners)","3415","2020","72.5","17.8"
"pid","Republicans (incl. leaners)","2454","2024","70.7","20.1"
"gender","Men","769","1978","68.9","48.1"
"gender","Men","561","1980","71.9","46.4"
"gender","Men","529","1982","72.3","44.3"
"gender","Men","839","1984","73.2","45.9"
"gender","Men","804","1986","73.4","46.1"
"gender","Men","744","1988","75.9","44.7"
"gender","Men","780","1990","69.8","46"
"gender","Men","988","1992","68.1","40.8"
"gender","Men","732","1994","69.5","42.1"
"gender","Men","689","1996","70.7","40.7"
"gender","Men","511","1998","68.8","41.3"
"gender","Men","682","2000","70.8","41.5"
"gender","Men","494","2004","71.8","40.6"
"gender","Men","860","2008","68.5","33.1"
"gender","Men","784","2012","67.9","32.1"
"gender","Men","1698","2016","65.3","25.8"
"gender","Men","3285","2020","69.4","18.7"
"gender","Men","2359","2024","68.6","20.5"
"gender","Women","975","1978","72.9","47.9"
"gender","Women","761","1980","73","46.8"
"gender","Women","661","1982","76","44.3"
"gender","Women","1063","1984","76.2","46"
"gender","Women","1021","1986","75.4","46.4"
"gender","Women","987","1988","76.5","46.2"
"gender","Women","894","1990","72.5","47.4"
"gender","Women","1120","1992","71.7","42.8"
"gender","Women","843","1994","70.9","42.9"
"gender","Women","849","1996","72.6","41.7"
"gender","Women","602","1998","72","41.1"
"gender","Women","865","2000","73.9","41.7"
"gender","Women","569","2004","75.3","38.7"
"gender","Women","1135","2008","72.5","36"
"gender","Women","1021","2012","71.8","33.6"
"gender","Women","1899","2016","68.9","26.4"
"gender","Women","3905","2020","73.4","19.8"
"gender","Women","2695","2024","72.4","20.6"
"education","Non-college","1421","1978","72.1","48.3"
"education","Non-college","1082","1980","73.7","47.6"
"education","Non-college","954","1982","75.3","44.9"
"education","Non-college","1554","1984","75.4","46.8"
"education","Non-college","1412","1986","75.2","46.6"
"education","Non-college","1333","1988","76.5","46.1"
"education","Non-college","1288","1990","71.9","47.9"
"education","Non-college","1536","1992","71","43.5"
"education","Non-college","1131","1994","69.8","44.2"
"education","Non-college","1094","1996","72.4","42.1"
"education","Non-college","785","1998","71.5","42.2"
"education","Non-college","1040","2000","73.1","42"
"education","Non-college","722","2004","74.5","41.3"
"education","Non-college","1523","2008","71.8","36.3"
"education","Non-college","1331","2012","71.6","34.5"
"education","Non-college","2124","2016","68.2","27"
"education","Non-college","3810","2020","73.5","20.2"
"education","Non-college","2687","2024","71.9","21"
"education","College grad+","318","1978","66.7","46.6"
"education","College grad+","236","1980","66.9","42.5"
"education","College grad+","232","1982","70.5","42"
"education","College grad+","339","1984","72.6","41.9"
"education","College grad+","395","1986","72.1","45"
"education","College grad+","367","1988","74.9","43.3"
"education","College grad+","359","1990","68.8","43"
"education","College grad+","518","1992","67","36.5"
"education","College grad+","410","1994","71.6","36.1"
"education","College grad+","441","1996","69.8","38.2"
"education","College grad+","323","1998","67.3","37.8"
"education","College grad+","505","2000","71","40.2"
"education","College grad+","341","2004","71.3","35.1"
"education","College grad+","460","2008","68.4","30.8"
"education","College grad+","458","2012","65.8","29.3"
"education","College grad+","1491","2016","65","24.4"
"education","College grad+","3321","2020","68.2","17.7"
"education","College grad+","2355","2024","67.9","20.1"
"race","White, non-Hispanic","1503","1978","70.3","48.5"
"race","White, non-Hispanic","1102","1980","70.8","46.5"
"race","White, non-Hispanic","1010","1982","73","45.1"
"race","White, non-Hispanic","1544","1984","74.1","45.9"
"race","White, non-Hispanic","1423","1986","73.2","46.7"
"race","White, non-Hispanic","1313","1988","74.9","45.4"
"race","White, non-Hispanic","1270","1990","70","45.9"
"race","White, non-Hispanic","1622","1992","68.4","40.9"
"race","White, non-Hispanic","1218","1994","68.7","40.2"
"race","White, non-Hispanic","1195","1996","69.8","40.2"
"race","White, non-Hispanic","829","1998","67.5","41"
"race","White, non-Hispanic","1153","2000","71.3","40.9"
"race","White, non-Hispanic","754","2004","72.6","38"
"race","White, non-Hispanic","984","2008","68.9","34.1"
"race","White, non-Hispanic","804","2012","67.5","33.6"
"race","White, non-Hispanic","2633","2016","65","25.2"
"race","White, non-Hispanic","5321","2020","71.1","17.1"
"race","White, non-Hispanic","3697","2024","70.5","18.5"
"race","Black, non-Hispanic","166","1978","77.1","44.7"
"race","Black, non-Hispanic","158","1980","82.7","47.3"
"race","Black, non-Hispanic","132","1982","83.5","37.1"
"race","Black, non-Hispanic","203","1984","80.9","42.2"
"race","Black, non-Hispanic","273","1986","80.1","42.6"
"race","Black, non-Hispanic","224","1988","81","44.3"
"race","Black, non-Hispanic","222","1990","76.9","45.5"
"race","Black, non-Hispanic","252","1992","76.8","40.4"
"race","Black, non-Hispanic","175","1994","78.1","51.5"
"race","Black, non-Hispanic","166","1996","79.6","43.1"
"race","Black, non-Hispanic","127","1998","83.3","37.1"
