Outlet_Display,Year,Measure,Total,Rep/Lean Rep,Dem/Lean Dem,Ages 18-29,30-49,50-64,65+
ABC News,2025,heard-of,92,92,94,90,90,94,96
NBC News,2025,heard-of,92,92,94,87,91,94,96
CBS News,2025,heard-of,90,89,91,85,87,92,94
Telemundo,2025,heard-of,57,52,64,48,65,63,49
The Wall Street Journal,2025,heard-of,79,79,80,74,78,82,83
New York Post,2025,heard-of,78,78,78,74,78,80,77
NPR,2025,heard-of,58,55,62,50,59,62,57
The Hill,2025,heard-of,37,37,39,28,37,43,38
The Atlantic,2025,heard-of,37,31,45,40,36,37,37
The Guardian,2025,heard-of,57,52,64,59,59,59,49
Forbes,2025,heard-of,78,78,79,75,79,81,74
The Associated Press,2025,heard-of,66,66,68,53,62,74,75
Newsmax,2025,heard-of,40,46,37,22,37,50,50
The Joe Rogan Experience,2025,heard-of,57,63,52,60,60,58,47
Breitbart,2025,heard-of,34,36,33,23,34,39,38
Univision,2025,heard-of,44,39,50,32,53,49,36
Fox News,2025,heard-of,93,94,92,90,92,94,95
CNN,2025,heard-of,94,94,95,92,93,95,94
MSNBC,2025,heard-of,85,84,87,76,85,88,89
The New York Times,2025,heard-of,84,83,85,83,84,86,83
The Washington Post,2025,heard-of,81,80,82,80,81,82,80
PBS,2025,heard-of,85,85,86,83,83,87,88
Axios,2025,heard-of,30,29,33,19,29,36,36
USA Today,2025,heard-of,84,84,85,76,83,88,88
HuffPost,2025,heard-of,55,52,59,49,60,58,49
Newsweek,2025,heard-of,72,73,73,47,71,83,83
Politico,2025,heard-of,49,49,52,36,47,56,56
BBC News,2025,heard-of,79,78,81,76,79,82,78
The Daily Wire,2025,heard-of,40,48,34,49,44,40,27
Tucker Carlson Network,2025,heard-of,27,37,19,24,23,31,32
ABC News,2025,use,36,27,46,28,30,41,49
NBC News,2025,use,35,24,47,22,28,41,51
CBS News,2025,use,30,22,39,19,23,37,46
Telemundo,2025,use,6,5,7,7,8,5,3
The Wall Street Journal,2025,use,13,12,16,14,13,12,14
New York Post,2025,use,9,10,8,10,9,9,7
NPR,2025,use,20,9,32,17,22,20,20
The Hill,2025,use,5,4,6,4,5,6,5
The Atlantic,2025,use,5,1,10,5,5,6,6
The Guardian,2025,use,8,4,13,8,9,8,8
Forbes,2025,use,9,9,10,11,10,8,7
The Associated Press,2025,use,21,11,31,20,22,21,20
Newsmax,2025,use,8,15,1,1,4,12,15
The Joe Rogan Experience,2025,use,12,22,2,14,12,13,8
Breitbart,2025,use,3,7,0,0,2,6,6
Univision,2025,use,6,4,7,8,8,4,3
Fox News,2025,use,38,57,18,28,32,45,47
CNN,2025,use,33,20,48,29,32,34,37
MSNBC,2025,use,22,11,33,13,19,25,30
The New York Times,2025,use,19,10,29,26,20,16,16
The Washington Post,2025,use,12,7,18,15,13,10,12
PBS,2025,use,21,11,31,13,17,23,30
Axios,2025,use,3,1,5,3,3,3,4
USA Today,2025,use,14,11,17,11,14,14,15
HuffPost,2025,use,5,2,8,3,5,6,6
